npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  3/16/2026 8:14:01 AM ::1 GET /dashboard
 HTTP  3/16/2026 8:14:01 AM ::1 Returned 200 in 37 ms
 HTTP  3/16/2026 8:14:02 AM ::1 GET /_next/static/media/07454f8ad8aaac57-s.p.fc65572f.woff2
 HTTP  3/16/2026 8:14:02 AM ::1 Returned 200 in 4 ms
 HTTP  3/16/2026 8:14:02 AM ::1 GET /_next/static/media/797e433ab948586e-s.p.dbea232f.woff2
 HTTP  3/16/2026 8:14:02 AM ::1 GET /_next/static/media/caa3a2e1cccd8315-s.p.853070df.woff2
 HTTP  3/16/2026 8:14:02 AM ::1 GET /_next/static/chunks/c5efcc2eb9ecde44.css
 HTTP  3/16/2026 8:14:02 AM ::1 GET /_next/static/chunks/5b03403bc88bd988.css
 HTTP  3/16/2026 8:14:02 AM ::1 Returned 200 in 7 ms
 HTTP  3/16/2026 8:14:02 AM ::1 Returned 200 in 6 ms
 HTTP  3/16/2026 8:14:02 AM ::1 Returned 200 in 6 ms
 HTTP  3/16/2026 8:14:02 AM ::1 Returned 200 in 7 ms
 HTTP  3/16/2026 8:14:02 AM ::1 GET /_next/static/chunks/85e1c0ad46cbafbd.js
 HTTP  3/16/2026 8:14:02 AM ::1 Returned 200 in 2 ms
 HTTP  3/16/2026 8:14:02 AM ::1 GET /_next/static/chunks/21c3b8f8a9fd1b29.js
 HTTP  3/16/2026 8:14:02 AM ::1 GET /_next/static/chunks/322fc8520f3e0aa7.js
 HTTP  3/16/2026 8:14:02 AM ::1 GET /_next/static/chunks/d6080f41951f9237.js
 HTTP  3/16/2026 8:14:02 AM ::1 GET /_next/static/chunks/5a101284a951f2ab.js
 HTTP  3/16/2026 8:14:02 AM ::1 GET /_next/static/chunks/f03a946546196e78.js
 HTTP  3/16/2026 8:14:02 AM ::1 Returned 200 in 10 ms
 HTTP  3/16/2026 8:14:02 AM ::1 Returned 200 in 11 ms
 HTTP  3/16/2026 8:14:02 AM ::1 Returned 200 in 10 ms
 HTTP  3/16/2026 8:14:02 AM ::1 Returned 200 in 13 ms
 HTTP  3/16/2026 8:14:02 AM ::1 GET /_next/static/chunks/9021cb852020f162.js
 HTTP  3/16/2026 8:14:02 AM ::1 GET /_next/static/chunks/turbopack-9b8e72b0d31e3e80.js
 HTTP  3/16/2026 8:14:02 AM ::1 Returned 200 in 13 ms
 HTTP  3/16/2026 8:14:02 AM ::1 GET /_next/static/chunks/32a562af20f6093e.js
 HTTP  3/16/2026 8:14:02 AM ::1 GET /_next/static/chunks/d4643c04cdad999f.js
 HTTP  3/16/2026 8:14:02 AM ::1 Returned 200 in 30 ms
 HTTP  3/16/2026 8:14:02 AM ::1 Returned 200 in 8 ms
 HTTP  3/16/2026 8:14:02 AM ::1 GET /_next/static/chunks/08d0394933f000fc.js
 HTTP  3/16/2026 8:14:02 AM ::1 GET /_next/static/chunks/72f85bfbe39f9969.js
 HTTP  3/16/2026 8:14:02 AM ::1 Returned 200 in 9 ms
 HTTP  3/16/2026 8:14:02 AM ::1 Returned 200 in 9 ms
 HTTP  3/16/2026 8:14:02 AM ::1 GET /_next/static/chunks/6b2c38f5975dd7c4.js
 HTTP  3/16/2026 8:14:02 AM ::1 Returned 200 in 9 ms
 HTTP  3/16/2026 8:14:02 AM ::1 Returned 200 in 15 ms
 HTTP  3/16/2026 8:14:02 AM ::1 GET /_next/static/chunks/ab84b860b1e748fb.js
 HTTP  3/16/2026 8:14:02 AM ::1 GET /_next/static/chunks/74554fc17965bd13.js
 HTTP  3/16/2026 8:14:02 AM ::1 Returned 200 in 21 ms
 HTTP  3/16/2026 8:14:02 AM ::1 Returned 200 in 10 ms
 HTTP  3/16/2026 8:14:02 AM ::1 GET /_next/static/chunks/cd02b7d8a89857bb.js
 HTTP  3/16/2026 8:14:02 AM ::1 Returned 200 in 8 ms
 HTTP  3/16/2026 8:14:02 AM ::1 GET /_next/static/chunks/32575918c817fdba.js
 HTTP  3/16/2026 8:14:02 AM ::1 Returned 200 in 7 ms
 HTTP  3/16/2026 8:14:02 AM ::1 Returned 200 in 5 ms
 HTTP  3/16/2026 8:14:02 AM ::1 GET /_next/static/chunks/6ea2fa752bdaed51.js
 HTTP  3/16/2026 8:14:02 AM ::1 GET /_next/static/chunks/c894dadde63b30b7.js
 HTTP  3/16/2026 8:14:02 AM ::1 GET /_next/static/chunks/728b894585b04de4.js
 HTTP  3/16/2026 8:14:02 AM ::1 GET /_next/static/chunks/723fc7d055e3af73.js
 HTTP  3/16/2026 8:14:02 AM ::1 GET /_next/static/chunks/ed18bd3cce5cfb74.js
 HTTP  3/16/2026 8:14:02 AM ::1 GET /_next/static/chunks/833c48474616c5e8.js
 HTTP  3/16/2026 8:14:02 AM ::1 Returned 200 in 7 ms
